feature,mean_importance
Ticket_paris,-0.012648611627937446
Name_mrs,-0.008323825625191206
Name_joseph,-0.004809710891539543
Cabin,-0.004102784164759843
Name_albert,-0.0029921941983062526
Name_miss,-0.001947515573994929
Parch,-0.0014934252801059422
Name_ellen,-0.0003350060663180443
Ticket_330844,0.0
Ticket_345763,0.0
Ticket_330910,0.0
Ticket_330924,0.0
Ticket_330968,0.0
Ticket_330971,0.0
Ticket_330972,0.0
Ticket_33112,0.0
Ticket_345498,0.0
Ticket_334914,0.0
Ticket_335432,0.0
Ticket_32302,0.0
Ticket_33595,0.0
Ticket_33638,0.0
Ticket_3410,0.0
Ticket_342441,0.0
Ticket_345572,0.0
Ticket_342684,0.0
Ticket_342712,0.0
Ticket_334915,0.0
Ticket_315154,0.0
Pclass,0.0
Ticket_315095,0.0
Ticket_113503,0.0
Ticket_13534,0.0
Ticket_14879,0.0
Ticket_16966,0.0
Ticket_17608,0.0
Ticket_220845,0.0
Ticket_230136,0.0
Ticket_2343,0.0
Ticket_2662,0.0
Ticket_2673,0.0
Ticket_315153,0.0
Ticket_28220,0.0
Ticket_31029,0.0
Ticket_3130,0.0
Ticket_31352,0.0
Ticket_31416,0.0
Ticket_315083,0.0
Ticket_315085,0.0
Ticket_315087,0.0
Ticket_315091,0.0
Ticket_315092,0.0
Ticket_345768,0.0
Ticket_3101315,0.0
Ticket_345771,0.0
Ticket_34651,0.0
Ticket_34644,0.0
Ticket_376566,0.0
Ticket_37671,0.0
Ticket_382650,0.0
Ticket_383123,0.0
Ticket_383162,0.0
Ticket_386525,0.0
Ticket_392083,0.0
Ticket_392095,0.0
Ticket_4133,0.0
Ticket_5734,0.0
Ticket_371362,0.0
Ticket_6607,0.0
Ticket_7266,0.0
Ticket_7538,0.0
Ticket_851,0.0
Ticket_ah,0.0
Ticket_aq,0.0
Ticket_ca,0.0
Ticket_o2,0.0
Ticket_oq,0.0
Ticket_pc,0.0
Ticket_sc,0.0
Ticket_694,0.0
Ticket_345775,0.0
Ticket_370374,0.0
Ticket_370129,0.0
Ticket_112378,0.0
Ticket_3470,0.0
Ticket_347065,0.0
Ticket_347066,0.0
Ticket_347070,0.0
Ticket_347072,0.0
Ticket_347075,0.0
Ticket_347077,0.0
Ticket_347079,0.0
Ticket_347080,0.0
Ticket_370371,0.0
Ticket_347090,0.0
Ticket_347467,0.0
Ticket_365237,0.0
Ticket_36568,0.0
Ticket_366713,0.0
Ticket_367226,0.0
Ticket_368402,0.0
Ticket_368783,0.0
Ticket_36928,0.0
Ticket_369943,0.0
Ticket_3701,0.0
Ticket_347091,0.0
Name_winifred,0.0
Name_van,0.0
Name_washington,0.0
Name_edwin,0.0
Name_elin,0.0
Name_eliza,0.0
Name_elizabeth,0.0
Name_emilio,0.0
Name_emma,0.0
Name_ernst,0.0
Name_florence,0.0
Name_frances,0.0
Name_francis,0.0
Name_frank,0.0
Name_franklin,0.0
Name_frederick,0.0
Name_gibson,0.0
Name_gilbert,0.0
Name_giles,0.0
Name_hannah,0.0
Name_william,0.0
Name_helene,0.0
Name_edward,0.0
Name_henry,0.0
Name_edvard,0.0
Name_edgar,0.0
Sex,0.0
Name_abraham,0.0
Name_alexander,0.0
Name_alice,0.0
Name_arthur,0.0
Name_bridget,0.0
Name_carl,0.0
Name_caroline,0.0
Name_catherine,0.0
Name_charles,0.0
Name_clifford,0.0
Name_col,0.0
Name_david,0.0
Name_davies,0.0
Name_delia,0.0
Name_dodge,0.0
Name_douglas,0.0
Name_drew,0.0
Name_dunton,0.0
Name_edith,0.0
Name_herbert,0.0
Name_helen,0.0
Name_howard,0.0
Name_herman,0.0
Name_nils,0.0
Name_patrick,0.0
Name_peacock,0.0
Name_percy,0.0
Name_peter,0.0
Name_pokrnic,0.0
Name_ralph,0.0
Name_miller,0.0
Name_rev,0.0
Name_ruth,0.0
Name_ryerson,0.0
Name_sage,0.0
Name_samaan,0.0
Name_spedden,0.0
Name_stehli,0.0
Ticket_soton,0.0
Name_walter,0.0
Name_robert,0.0
Name_michael,0.0
Name_nellie,0.0
Name_johansson,0.0
Name_ida,0.0
Name_ivan,0.0
Name_james,0.0
Name_jennie,0.0
Name_johan,0.0
Name_johannes,0.0
Name_mary,0.0
Name_john,0.0
Name_jr,0.0
Ticket_ston,0.0
Name_julius,0.0
Name_karl,0.0
Name_kate,0.0
Name_lane,0.0
Name_louisa,0.0
Name_louise,0.0
Name_maria,0.0
Name_julia,0.0
Name_mahon,0.0
SibSp,0.0003679162794207436
Name_alfred,0.0005241421502132137
Name_thomas,0.0005455374918157174
Name_george,0.0007367110008915434
Name_daniel,0.0007695367584891422
Name_master,0.0008805376258093078
Embarked,0.0010732484887081117
Name_harry,0.0011057651444765781
Name_samuel,0.0011292162057309207
Name_mr,0.0018752137075350728
Fare,0.002126575227080063
Age,0.009513829488196679
